Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1978-01-10,7.076774142999027,7.124429293926279,7.029119430118938,7.0529465675354,22651,0.0,0.0
1978-01-11,7.0529455944802235,7.076773166656494,6.981463315998517,7.076773166656494,25783,0.0,0.0
1978-01-12,7.076774142999027,7.100601718462653,7.0052918546553125,7.0529465675354,12530,0.0,0.0
1978-01-13,7.052944154318732,7.148254423562127,7.052944154318732,7.10059928894043,12530,0.0,0.0
1978-01-16,7.100603827483088,7.100603827483088,6.933811187744141,6.933811187744141,19036,0.0,0.0
1978-01-17,6.933807356467322,7.005290064592209,6.909979787092359,6.957634925842285,14940,0.0,0.0
1978-01-18,6.957636703728061,7.052946567535401,6.933809128264435,7.0529465675354,12048,0.0,0.0
1978-01-19,7.052946745951224,7.1006018980839904,6.909981727600098,6.909981727600098,29880,0.0,0.0
1978-01-20,6.93381302298842,6.981468200683594,6.93381302298842,6.981468200683594,1205,0.0,0.0
1978-01-23,6.981461498607088,7.029116630554199,6.933806366659978,7.029116630554199,9880,0.0,0.0
1978-01-24,7.029123378378767,7.029123378378767,6.957640611836006,6.981468200683594,15904,0.0,0.0
1978-01-25,6.981466352825924,7.005293935366815,6.933811187744141,6.933811187744141,17108,0.0,0.0
1978-01-26,6.933809303666481,6.981464455799248,6.909981727600098,6.909981727600098,8916,0.0,0.0
1978-01-27,6.886153300573343,6.886153300573343,6.814671019254831,6.838498592376709,23855,0.0,0.0
1978-01-30,6.862326575467331,6.933809303666481,6.862326575467331,6.909981727600098,13253,0.0,0.0
1978-01-31,6.909979787092359,6.957634925842284,6.886152217717396,6.957634925842285,20000,0.0,0.0
1978-02-01,6.957637385032442,6.957637385032442,6.886154651641846,6.886154651641846,15904,0.0,0.0
